pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,score_IRIS,score_NEO,score_ALEX,score_EVA,score_consensus
Kepler-166 b,Kepler-166,1,3,Transit,2014,7.650254,2.27,5.77,772.0,5413.0,0.742,0.811,603.53,0.0,98.46346975252712,65.46431844891275,0.0,40.98194705035996
Kepler-181 c,Kepler-181,1,2,Transit,2014,4.302149,1.99,4.62,937.0,5333.0,0.749,0.81,609.283,30.0,94.73874989612499,80.0,0.0,51.18468747403125
Kepler-106 d,Kepler-106,1,4,Transit,2014,23.9802,0.95,8.1,649.0,5858.0,1.04,1.0,444.322,30.0,93.12311096871495,59.20936592734361,10.470975342465756,48.200863059631075
Kepler-131 c,Kepler-131,1,2,Transit,2014,25.5169,0.84,8.25,615.0,5685.0,1.03,1.02,228.678,30.0,92.11939947536732,57.552591273906316,7.2972794520547986,46.7423175503321
Kepler-320 b,Kepler-320,1,2,Transit,2014,8.371554,1.14,1.55,1292.0,6435.0,1.108,1.072,826.613,30.0,84.81575153856431,80.0,19.98807293150685,53.70095611751779
Kepler-169 e,Kepler-169,1,5,Transit,2014,13.767102,2.2,5.48,595.0,4997.0,0.763,0.825,406.529,0.0,94.19616681154442,57.19209892330304,0.0,37.847066433711866
Kepler-249 c,Kepler-249,1,3,Transit,2014,7.113702,1.51,2.89,429.0,3568.0,0.482,0.510238,190.401,30.0,88.98323828921991,49.337821938774276,10.597187835616438,44.72956201590266
Kepler-174 b,Kepler-174,1,3,Transit,2014,13.98179,1.96,4.5,553.0,4880.0,0.622,0.602,384.757,30.0,92.75465185918969,55.23005702352104,0.0,44.49617722067768
Kepler-231 c,Kepler-231,1,2,Transit,2014,19.271566,1.93,24.1,393.0,3767.0,0.49,0.58,316.618,0.0,88.88714961523121,47.733028950223655,2.746464328767125,34.8416607235555
Kepler-197 c,Kepler-197,2,4,Transit,2014,10.349695,1.23,5.3,930.0,6004.0,1.12,0.857,330.575,30.0,93.49606943392381,80.0,3.9506598630137013,51.86168232423438
Kepler-151 b,Kepler-151,1,2,Transit,2014,15.228958,3.06,9.59,639.0,5460.0,0.83,0.87,649.919,0.0,96.19445926085152,58.82843340486659,0.0,38.755723166429526
Kepler-241 b,Kepler-241,1,2,Transit,2014,12.718092,2.33,6.04,562.0,4699.0,0.668,0.671,512.0,0.0,93.66972666148975,55.62588298749563,0.0,37.32390241224634
Kepler-232 b,Kepler-232,1,2,Transit,2014,4.431222,3.08,9.69,1104.0,5847.0,0.968,0.97,1349.13,0.0,92.16277084280235,80.0,0.0,43.04069271070058
Kepler-233 b,Kepler-233,1,2,Transit,2014,8.472382,2.43,6.48,751.0,5360.0,0.758,0.855,856.417,0.0,98.27875509641301,64.42723389393576,0.0,40.67649724758719
Kepler-143 b,Kepler-143,1,2,Transit,2014,16.007583,2.41,6.39,838.0,5848.0,1.359,0.982,809.467,0.0,97.8713195113075,80.0,0.0,44.46782987782687
Kepler-332 d,Kepler-332,1,3,Transit,2014,34.21154,1.18,1.76,427.0,4955.0,0.72,0.743,344.19,40.0,88.28385443793532,49.109962591515625,30.132740730593614,51.881639440011135
Kepler-186 f,Kepler-186,1,5,Transit,2014,129.9441,1.17,1.71,177.0,3755.0,0.523,0.544,177.594,40.0,82.23667458110424,37.45155896882523,42.71783698630138,50.601517634057714
Kepler-296 c,Kepler-296,2,5,Transit,2014,5.8416366,2.0,4.66,606.0,3740.0,0.48,0.498,167.0,30.0,94.0580972020531,57.71539266964503,0.0,45.44337246792453
Kepler-79 e,Kepler-79,1,4,Transit,2014,81.0659,3.49,4.1,511.0,6174.0,1.302,1.165,1020.72,0.0,92.22654962117154,52.58026790591444,0.0,36.20170438177149
Kepler-296 d,Kepler-296,2,5,Transit,2014,19.850291,2.09,5.02,403.0,3740.0,0.48,0.498,167.0,0.0,89.47924176578505,48.20369551398909,0.0,34.420734319943534
HD 30669 b,HD 30669,1,1,Radial Velocity,2014,1684.0,14.3,149.37,,5400.0,0.91,0.92,58.0844,0.0,74.42821553394323,30.0,10.0,28.607053883485808
Kepler-296 e,Kepler-296,2,5,Transit,2014,34.14211,1.53,2.96,337.0,3740.0,0.48,0.498,167.0,70.4,86.8419004254964,45.04259579769275,21.802034155251132,56.02163259461007
Kepler-296 f,Kepler-296,2,5,Transit,2014,63.33627,1.8,3.89,274.0,3740.0,0.48,0.498,167.0,79.2,85.8270095601895,42.14460980670988,19.747387488584483,56.72975171387097
HD 108341 b,HD 108341,2,1,Radial Velocity,2014,1129.0,13.3,715.11391575,,5122.0,0.79,0.843,48.9102,0.0,72.593230473291,30.0,10.0,28.14830761832275
HD 103720 b,HD 103720,1,1,Radial Velocity,2014,4.5557,14.1,197.046,,5017.0,0.73,0.794,45.5352,0.0,77.42109468320498,30.0,10.374441095890411,29.448883944773847
OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L,2,1,Microlensing,2014,,8.74,57.0,,,,0.71,8100.0,0.0,88.64263040116329,30.0,40.0,39.66065760029082
MOA-2011-BLG-262L b,MOA-2011-BLG-262L,1,1,Microlensing,2014,,4.29,17.0,,,,0.11,7200.0,0.0,97.30949630043389,30.0,40.0,41.82737407510847
Kepler-104 b,Kepler-104,2,3,Transit,2014,11.427548,3.1,19.6,852.0,5711.0,1.349,0.818,400.785,0.0,97.97832601312192,80.0,0.0,44.49458150328048
Kepler-239 c,Kepler-239,1,2,Transit,2014,56.228098,2.51,6.85,366.0,4914.0,0.763,0.757,648.109,0.0,89.34855415211037,46.414058767237556,6.496487506849313,35.56477510654931
Kepler-315 c,Kepler-315,1,2,Transit,2014,265.469335,4.15,16.1,291.0,5796.0,1.037,0.831,1160.63,22.800000000000004,85.51906432513313,41.90915818870012,31.506897397260275,45.43377997777338
Kepler-417 c,Kepler-417,1,2,Transit Timing Variations,2014,15.943,2.69,7.7,616.0,5177.0,0.806,0.9,973.989,0.0,95.62009405005266,58.01802748842803,0.0,38.40953038462017
OGLE-2013-BLG-0102L b,OGLE-2013-BLG-0102L,1,1,Microlensing,2014,,12.3,4100.0,,,,0.096,3040.0,0.0,48.278809277261225,30.0,40.0,29.569702319315304
