pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist
HATS-14 b,HATS-14,1,1,Transit,2015,2.7667641,11.646151,340.39593,1276.0,5346.0,0.933,0.967,513.011
KELT-6 c,KELT-6,1,2,Radial Velocity,2015,1276.0,13.0,1179.1493,,6272.0,1.529,1.126,240.726
HAT-P-54 b,HAT-P-54,1,1,Transit,2015,3.799847,10.581296,241.5508,818.0,4390.0,0.617,0.645,143.651
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,5.20851,10.704595,153.82972,,5150.0,1.78,1.01,766.183
Kepler-435 b,Kepler-435,1,1,Transit,2015,8.6001536,22.31,266.97,1729.0,6161.0,3.21,1.538,1418.77
Kepler-434 b,Kepler-434,1,1,Transit,2015,12.8747099,12.67,908.96,1000.0,5977.0,1.38,1.198,1222.54
Kepler-433 b,Kepler-433,1,1,Transit,2015,5.33408384,16.25,896.24,1776.0,6360.0,2.26,1.46,1878.31
Kepler-445 d,Kepler-445,1,3,Transit,2015,8.15275,1.25,2.1,305.0,3157.0,0.21,0.18,127.201
Kepler-445 c,Kepler-445,1,3,Transit,2015,4.871229,2.51,6.85,341.0,3157.0,0.21,0.18,127.201
Kepler-432 b,Kepler-432,2,2,Transit,2015,52.501129,12.834305,1719.4603,812.0,4995.0,4.06,1.32,848.023
Kepler-445 b,Kepler-445,1,3,Transit,2015,2.984151,1.58,3.12,401.0,3157.0,0.21,0.18,127.201
Kepler-446 d,Kepler-446,1,3,Transit,2015,5.148921,1.35,2.39,436.0,3359.0,0.24,0.22,96.339
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,16.14096,4417.837,,3064.0,0.281,0.108,40.08964117
HATS-6 b,HATS-6,1,1,Transit,2015,3.3252725,11.186582,101.38777,712.8,3724.0,0.57,0.574,169.318
WASP-41 c,WASP-41,1,2,Radial Velocity,2015,421.0,13.1,1010.6994,241.0,5545.0,0.87,0.93,163.371
Kepler-449 c,Kepler-449,1,2,Transit,2015,33.6727,2.764,8.07,661.0,5649.18,1.467,1.02,241.949
Kepler-450 c,Kepler-450,1,3,Transit,2015,15.413135,2.62,12.5,944.0,6197.21,1.64162,1.19,455.982
HAT-P-50 b,HAT-P-50,1,1,Transit,2015,3.1220109,14.437192,429.0705,1862.0,6280.0,1.698,1.273,515.458
Kepler-431 d,Kepler-431,1,3,Transit,2015,11.922,1.11,1.41,856.0,6004.0,1.092,1.071,486.546
Kepler-431 c,Kepler-431,1,3,Transit,2015,8.703,0.668,0.229,951.0,6004.0,1.092,1.071,486.546
Kepler-449 b,Kepler-449,1,2,Transit,2015,12.58242,2.056,4.88,917.0,5649.18,1.467,1.02,241.949
HD 1461 c,HD 1461,1,2,Radial Velocity,2015,13.5052,2.23,5.59,,5765.0,1.152288,1.02,23.4534
GJ 3341 b,GJ 3341,1,1,Radial Velocity,2015,14.207,2.46,6.6,,3526.0,0.439,0.47,23.619
Kepler-430 c,Kepler-430,1,2,Transit,2015,110.979,1.75,3.71,458.0,5884.0,1.485,1.166,917.477
Kepler-444 b,Kepler-444,3,5,Transit,2015,3.6001053,0.403,0.0374,938.0,5046.0,0.752,0.758,36.4396
Kepler-444 c,Kepler-444,3,5,Transit,2015,4.5458841,0.497,0.0793,868.0,5046.0,0.752,0.758,36.4396
Kepler-450 d,Kepler-450,1,3,Transit,2015,7.51464,0.837,17.6,1199.0,6197.21,1.64162,1.19,455.982
HD 219134 g,HD 219134,1,6,Radial Velocity,2015,94.2,3.28,10.80622,,4913.0,0.77,0.794,6.53127
Kepler-444 e,Kepler-444,3,5,Transit,2015,7.743493,0.546,0.1,727.0,5046.0,0.752,0.758,36.4396
Kepler-444 d,Kepler-444,3,5,Transit,2015,6.189392,0.53,0.2,783.0,5046.0,0.752,0.758,36.4396
Kepler-444 f,Kepler-444,3,5,Transit,2015,9.740486,0.741,0.332,673.0,5046.0,0.752,0.758,36.4396
HIP 107773 b,HIP 107773,1,1,Radial Velocity,2015,144.3,13.4,629.3034,,4945.0,11.6,2.42,105.18
HATS-8 b,HATS-8,1,1,Transit,2015,3.583893,9.785457,43.86054,1324.0,5679.0,1.086,1.056,794.637
HD 219134 h,HD 219134,1,6,Radial Velocity,2015,2247.0,12.7,108.0622,,4913.0,0.77,0.794,6.53127
WASP-82 b,WASP-82,1,1,Transit,2015,2.70579,18.15858,371.8611,2190.0,6480.0,2.1,1.48,275.664
Kepler-280 c,Kepler-280,1,2,Transit,2014,4.807091,2.01,4.7,1088.0,5744.0,0.886,0.962,780.361
Kepler-263 c,Kepler-263,1,2,Transit,2014,47.332773,2.47,6.66,386.0,5265.0,0.785,0.793,754.747
Kepler-150 d,Kepler-150,1,5,Transit,2014,12.56093,2.79,8.2,734.0,5560.0,0.939,0.956,891.092
Kepler-221 d,Kepler-221,1,4,Transit,2014,10.04156,2.73,3.61,712.0,5243.0,0.821,0.854,385.231
Kepler-311 c,Kepler-311,1,3,Transit,2014,19.738286,1.43,2.63,744.0,5905.0,1.188,0.994,778.654
Kepler-150 e,Kepler-150,1,5,Transit,2014,30.826557,3.12,9.91,544.0,5560.0,0.939,0.956,891.092
Kepler-272 c,Kepler-272,1,3,Transit,2014,6.057342,1.79,97.8,947.0,5297.0,0.929,0.91,889.608
Kepler-152 c,Kepler-152,1,2,Transit,2014,88.255055,2.39,6.3,326.0,5088.0,0.724,0.779,441.09
WASP-96 b,WASP-96,1,1,Transit,2014,3.4252602,13.45,152.55,1285.0,5540.0,1.05,1.06,352.464
Kepler-419 c,Kepler-419,1,2,Transit Timing Variations,2014,675.47,12.6,2320.1,,6430.0,1.74,1.39,1011.36
Kepler-419 b,Kepler-419,1,2,Transit,2014,69.7546,10.8,794.5,613.0,6430.0,1.74,1.39,1011.36
HD 154857 c,HD 154857,1,2,Radial Velocity,2014,3452.0,13.2,819.97,,5605.0,1.76,1.718,63.4482
Kepler-413 b,Kepler-413,2,1,Transit,2014,66.262,4.347,67.0,,4700.0,0.7761,0.82,847.536
Kepler-186 b,Kepler-186,1,5,Transit,2014,3.8867907,1.07,1.24,571.0,3788.0,0.472,0.478,177.594
Kepler-186 d,Kepler-186,1,5,Transit,2014,13.342996,1.4,2.54,379.0,3788.0,0.472,0.478,177.594
GU Psc b,GU Psc,1,1,Imaging,2014,,14.179,3591.3,1050.0,4031.81,0.450458,0.325,47.5501
Kepler-31 d,Kepler-31,1,3,Transit,2014,87.6451,3.9,2161.244,484.0,6340.0,1.22,1.21,1664.64
HAT-P-44 b,HAT-P-44,1,2,Transit,2014,4.301219,13.922,111.871,1108.0,5295.0,0.949,0.942,347.85
HAT-P-44 c,HAT-P-44,1,2,Radial Velocity,2014,872.2,13.0,1271.3,,5295.0,0.949,0.942,347.85
HATS-5 b,HATS-5,1,1,Transit,2014,4.763387,10.223,75.323,1025.0,5304.0,0.871,0.936,246.384
Kepler-415 c,Kepler-415,1,2,Transit Timing Variations,2014,8.708,2.01,4.7,543.0,4362.0,0.643,0.67,530.487
Kepler-122 f,Kepler-122,1,5,Transit Timing Variations,2014,56.268,1.75,36.0,543.0,5917.0,0.949,1.03,1027.45
Kepler-414 c,Kepler-414,1,2,Transit Timing Variations,2014,7.171,3.01,29.9,890.0,5536.0,0.946,0.89,413.46
Kepler-415 b,Kepler-415,1,2,Transit Timing Variations,2014,4.176,1.21,119.9,694.0,4362.0,0.643,0.67,530.487
Kepler-338 e,Kepler-338,1,4,Transit Timing Variations,2014,9.341,1.56,8.5,1143.0,5999.0,1.735,1.14,552.798
Kepler-130 c,Kepler-130,2,3,Transit,2014,27.50868,2.9,8.75,683.0,5879.0,1.17,1.0,316.663
Kepler-418 b,Kepler-418,1,2,Transit,2014,86.67856,13.45,349.6112477,434.0,5820.0,1.09,0.98,1002.53
Kepler-269 b,Kepler-269,1,2,Transit,2014,5.326718,2.47,6.66,1007.0,5847.0,0.959,0.92,2257.32
Kepler-300 c,Kepler-300,1,2,Transit,2014,40.714955,2.25,5.69,516.0,5986.0,0.9,1.07,1098.45
Kepler-149 d,Kepler-149,1,3,Transit,2014,160.018032,3.96,14.9,306.0,5381.0,0.953,1.013,571.034
Kepler-124 d,Kepler-124,1,3,Transit,2014,30.950851,1.11,1.41,428.0,4984.0,0.636,0.706,420.046
Kepler-297 b,Kepler-297,1,3,Transit,2014,38.871826,2.87,48.5,509.0,5619.0,0.915,0.927,692.14
Kepler-402 c,Kepler-402,1,4,Transit,2014,6.124821,1.56,3.05,1140.0,6090.0,1.264,1.072,625.339
Kepler-157 b,Kepler-157,1,3,Transit,2014,1.732342,1.32,2.3,1546.0,5774.0,1.044,0.95,773.713
Kepler-288 c,Kepler-288,1,3,Transit,2014,19.305772,2.85,8.5,815.0,5918.0,1.091,0.842,1194.15
Kepler-295 b,Kepler-295,1,3,Transit,2014,12.645164,1.22,1.98,741.0,5603.0,0.898,0.89,1699.19
Kepler-178 d,Kepler-178,1,3,Transit,2014,96.678988,3.95,14.8,392.0,5676.0,1.066,0.852,716.025
Kepler-287 c,Kepler-287,1,2,Transit,2014,44.851896,3.26,66.0,513.0,5806.0,1.032,0.963,835.86
Kepler-285 b,Kepler-285,1,2,Transit,2014,2.633867,1.34,2.36,1131.0,5411.0,0.808,0.915,824.31
Kepler-181 b,Kepler-181,1,2,Transit,2014,3.137873,1.27,2.15,1041.0,5333.0,0.749,0.81,609.283
Kepler-284 b,Kepler-284,1,2,Transit,2014,12.699149,2.24,5.65,686.0,5615.0,0.814,0.766,1031.95
Kepler-199 c,Kepler-199,1,2,Transit,2014,67.093408,3.25,10.6,420.0,5644.0,0.967,0.96,521.054
Kepler-214 b,Kepler-214,1,2,Transit,2014,15.660544,2.61,7.32,758.0,6169.0,1.352,1.11,1208.44
Kepler-115 c,Kepler-115,1,2,Transit,2014,8.990889,2.6,7.27,960.0,5979.0,1.205,1.042,623.609
Kepler-341 c,Kepler-341,1,4,Transit,2014,8.01041,1.7,3.53,940.0,6012.0,1.024,0.976,1047.03
Kepler-225 b,Kepler-225,1,2,Transit,2014,6.738975,1.2,1.87,579.0,3682.0,0.48,0.593,561.101
Kepler-216 b,Kepler-216,1,2,Transit,2014,7.693641,2.35,6.12,1069.0,6091.0,1.26,1.126,1187.47
Kepler-259 c,Kepler-259,1,2,Transit,2014,36.924931,2.7,7.75,530.0,5938.0,0.898,0.867,1002.14
Kepler-293 b,Kepler-293,1,2,Transit,2014,19.254196,3.07,9.64,657.0,5804.0,0.957,0.934,974.633
Kepler-291 b,Kepler-291,1,2,Transit,2014,3.546511,2.16,5.31,1212.0,6002.0,1.016,1.023,1786.48
Kepler-242 c,Kepler-242,1,2,Transit,2014,14.496481,2.0,4.66,613.0,5020.0,0.85,0.748,600.241
Kepler-240 b,Kepler-240,1,2,Transit,2014,4.144495,1.37,2.45,864.0,4985.0,0.739,0.868,746.927
Kepler-148 c,Kepler-148,1,3,Transit,2014,4.180043,3.6,12.6,957.0,5272.0,0.851,0.86,791.163
Kepler-179 b,Kepler-179,1,2,Transit,2014,2.735926,1.64,3.33,1075.0,5302.0,0.759,0.893,605.68
Kepler-303 b,Kepler-303,1,2,Transit,2014,1.937055,0.89,0.64,802.0,3944.0,0.485,0.575,209.738
Kepler-260 b,Kepler-260,1,2,Transit,2014,8.187399,2.01,4.7,782.0,5250.0,0.862,1.013,627.365
Kepler-226 b,Kepler-226,1,3,Transit,2014,3.940997,1.55,24.0,1018.0,5571.0,0.802,0.904,980.138
Kepler-165 c,Kepler-165,1,2,Transit,2014,15.31299,2.23,5.6,581.0,5211.0,0.77,0.746,560.885
Kepler-197 d,Kepler-197,2,4,Transit,2014,15.677563,1.22,1.98,810.0,6004.0,1.12,0.857,330.575
Kepler-125 b,Kepler-125,1,2,Transit,2014,4.164389,2.37,6.21,590.0,3810.0,0.512,0.542101,183.365
Kepler-306 c,Kepler-306,1,4,Transit,2014,7.240193,2.35,6.12,716.0,4954.0,0.719,0.75,775.679
Kepler-222 c,Kepler-222,1,3,Transit,2014,10.08881,4.64,19.4,734.0,5433.0,0.869,0.933,758.854
Kepler-184 d,Kepler-184,1,3,Transit,2014,29.022358,2.49,6.76,559.0,5788.0,0.873,0.872,610.326
Kepler-309 b,Kepler-309,1,2,Transit,2014,5.923653,1.56,3.05,531.0,4713.0,0.721,0.816,544.568
Kepler-166 c,Kepler-166,1,3,Transit,2014,34.260281,2.38,6.26,468.0,5413.0,0.742,0.811,603.53
Kepler-275 b,Kepler-275,1,3,Transit,2014,10.300682,2.34,6.08,1015.0,6165.0,1.383,1.189,2034.25
Kepler-108 b,Kepler-108,2,2,Transit,2014,49.183921,8.65,56.0,669.0,5854.0,2.192,1.247,338.732
Kepler-264 b,Kepler-264,1,2,Transit,2014,40.806231,3.33,11.1,772.0,6158.0,1.55,1.426,942.173
Kepler-279 b,Kepler-279,1,4,Transit,2014,12.309681,3.62,4180.93,1104.0,6363.0,1.746,1.2,1037.4
Kepler-286 c,Kepler-286,1,4,Transit,2014,3.468095,1.37,2.45,1098.0,5580.0,0.863,0.83,1226.85
Kepler-261 b,Kepler-261,1,2,Transit,2014,10.381227,2.18,5.39,672.0,5098.0,0.794,0.834,317.499
Kepler-292 d,Kepler-292,1,5,Transit,2014,7.055679,2.23,5.6,808.0,5299.0,0.826,0.865,1056.48
Kepler-119 b,Kepler-119,1,2,Transit,2014,2.422082,3.6,12.6,1213.0,5595.0,0.839,0.918,701.996
Kepler-297 c,Kepler-297,1,3,Transit,2014,74.920137,6.54,42.1,409.0,5619.0,0.915,0.927,692.14
Kepler-343 b,Kepler-343,1,2,Transit,2014,8.96855,2.41,6.39,1024.0,5807.0,1.433,1.055,927.193
Kepler-158 b,Kepler-158,1,3,Transit,2014,16.709184,2.12,5.14,500.0,4623.0,0.624,0.655,315.177
Kepler-273 b,Kepler-273,1,2,Transit,2014,2.936532,1.5,2.86,1209.0,5626.0,0.815,0.756,713.964
Kepler-306 b,Kepler-306,1,4,Transit,2014,4.646186,1.52,2.92,830.0,4954.0,0.719,0.75,775.679
Kepler-267 d,Kepler-267,1,3,Transit,2014,28.464515,2.27,5.77,301.0,4258.0,0.555,0.541571,264.993
Kepler-266 b,Kepler-266,1,2,Transit,2014,6.61833,2.48,6.71,1066.0,5885.0,1.028,0.947,1370.79
Kepler-121 c,Kepler-121,1,2,Transit,2014,41.008011,2.27,5.77,425.0,5311.0,0.701,0.859,510.523
Kepler-338 d,Kepler-338,1,4,Transit,2014,44.431014,3.0,9.27,680.0,5923.0,1.735,1.105,552.798
Kepler-126 d,Kepler-126,1,3,Transit,2014,100.283134,2.5,54.59018723,475.0,6239.0,1.358,1.108,237.401
Kepler-381 c,Kepler-381,1,3,Transit,2014,13.391635,1.12,1.46,1180.0,6152.0,1.568,1.144,267.323
Kepler-249 d,Kepler-249,1,3,Transit,2014,15.368459,1.57,3.09,332.0,3568.0,0.482,0.510238,190.401
Kepler-254 d,Kepler-254,1,3,Transit,2014,18.746477,2.5,6.8,686.0,5957.0,0.91,0.849,1389.48
Kepler-363 d,Kepler-363,1,3,Transit,2014,11.932125,2.05,4.86,905.0,5593.0,1.485,1.226,762.596
Kepler-366 b,Kepler-366,1,2,Transit,2014,3.281959,1.46,2.73,1326.0,6209.0,1.048,1.088,1856.28
Kepler-141 b,Kepler-141,1,2,Transit,2014,3.107675,0.69,0.257,968.0,4910.0,0.787,0.878,301.183
Kepler-142 d,Kepler-142,1,3,Transit,2014,41.809118,2.16,5.31,582.0,5790.0,1.269,0.978,548.686
Kepler-400 b,Kepler-400,1,2,Transit,2014,9.024389,1.65,3.36,939.0,5886.0,1.145,1.08,845.97
Kepler-204 c,Kepler-204,1,2,Transit,2014,25.660593,1.79,3.86,683.0,5812.0,1.238,1.038,686.723
Kepler-312 c,Kepler-312,1,2,Transit,2014,19.747412,3.15,10.1,754.0,6115.0,1.467,1.314,797.72
Kepler-286 d,Kepler-286,1,4,Transit,2014,5.914323,1.33,2.33,919.0,5580.0,0.863,0.83,1226.85
Kepler-354 b,Kepler-354,1,3,Transit,2014,5.47666,1.84,4.04,741.0,4648.0,0.674,0.652,554.064
Kepler-368 b,Kepler-368,1,2,Transit,2014,26.84768,3.26,10.7,800.0,5502.0,2.019,1.165,770.978
Kepler-135 b,Kepler-135,1,2,Transit,2014,6.00253,1.81,3.93,1209.0,6090.0,1.275,1.047,621.855
Kepler-383 b,Kepler-383,1,2,Transit,2014,12.904532,1.32,2.3,545.0,4710.0,0.672,0.669,470.0
Kepler-314 c,Kepler-314,1,2,Transit,2014,5.960392,2.9,8.75,890.0,5378.0,0.95,0.99,268.881
Kepler-104 c,Kepler-104,2,3,Transit,2014,23.668205,3.13,7.14430805,668.0,5711.0,1.349,0.818,400.785
Kepler-369 c,Kepler-369,1,2,Transit,2014,14.871572,1.41,2.57,391.0,3591.0,0.471,0.5,214.0
Kepler-371 b,Kepler-371,1,2,Transit,2014,34.763278,1.89,4.23,554.0,5666.0,0.992,0.876,813.192
Kepler-147 b,Kepler-147,1,2,Transit,2014,12.610584,1.53,2.96,953.0,6012.0,1.468,1.145,1042.02
Kepler-132 d,Kepler-132,2,4,Transit,2014,18.010199,1.55,3.02,758.0,6003.0,1.178,0.929,349.549
Kepler-208 c,Kepler-208,1,4,Transit,2014,7.466623,1.39,2.51,1141.0,6092.0,1.314,1.082,775.328
Kepler-316 c,Kepler-316,1,2,Transit,2014,6.827766,1.16,1.65,577.0,4204.0,0.52,0.587,384.938
Kepler-313 b,Kepler-313,1,2,Transit,2014,14.970418,2.53,6.94,883.0,5727.0,1.536,1.114,1079.39524871
Kepler-372 c,Kepler-372,1,3,Transit,2014,20.053763,2.09,5.02,755.0,6509.0,1.137,1.202,1493.95
Kepler-373 b,Kepler-373,1,2,Transit,2014,5.535309,1.36,2.42,1054.0,5787.0,0.845,0.981,1090.45
Kepler-151 c,Kepler-151,1,2,Transit,2014,24.674612,2.09,5.02,544.0,5460.0,0.83,0.87,649.919
Kepler-386 c,Kepler-386,1,2,Transit,2014,25.193458,1.58,3.12,513.0,5178.0,0.767,0.825,882.462
Kepler-215 c,Kepler-215,1,4,Transit,2014,14.667108,1.77,3.78,675.0,5739.0,1.027,0.788,485.997
Kepler-404 b,Kepler-404,1,2,Transit,2014,11.829851,1.27,2.15,730.0,5654.0,0.884,0.86,812.524
Kepler-317 b,Kepler-317,1,2,Transit,2014,5.524242,2.09,109.8,976.0,5497.0,0.941,0.865,940.584
Kepler-319 c,Kepler-319,1,3,Transit,2014,6.941357,2.63,7.41,876.0,5526.0,0.903,0.933,503.436
Kepler-375 c,Kepler-375,1,2,Transit,2014,19.986326,2.65,7.51,720.0,5826.0,0.837,0.891,1238.81
Kepler-356 c,Kepler-356,1,2,Transit,2014,13.121632,1.81,3.93,913.0,6133.0,1.335,1.163,707.559
Kepler-387 b,Kepler-387,1,2,Transit,2014,6.791636,1.03,1.08,994.0,5774.0,1.046,0.85,801.052
Kepler-388 b,Kepler-388,1,2,Transit,2014,3.173315,0.81,0.457,830.0,4498.0,0.586,0.635,425.0
Kepler-224 e,Kepler-224,1,4,Transit,2014,18.643577,1.97,4.54,517.0,5018.0,0.676,0.777,782.088
Kepler-226 d,Kepler-226,1,3,Transit,2014,8.109044,1.22,1.98,800.0,5571.0,0.802,0.904,980.138
Kepler-348 b,Kepler-348,1,2,Transit,2014,7.05677,1.52,2.92,1196.0,6177.0,1.359,1.189,570.783
Kepler-338 b,Kepler-338,1,4,Transit,2014,13.726976,2.44,30.6,1005.0,5923.0,1.735,1.105,552.798
Kepler-376 c,Kepler-376,1,2,Transit,2014,14.172327,1.79,3.86,873.0,5900.0,1.175,0.968,923.067
Kepler-377 c,Kepler-377,1,2,Transit,2014,27.014976,2.06,4.9,677.0,5949.0,1.224,1.043,823.804
Kepler-389 b,Kepler-389,1,2,Transit,2014,3.244107,1.51,2.89,1047.0,5376.0,0.792,0.765,816.559
Kepler-118 b,Kepler-118,1,2,Transit,2014,7.518496,1.96,4.5,784.0,5274.0,1.094,0.811,574.228
Kepler-123 c,Kepler-123,1,2,Transit,2014,26.695074,1.48,2.79,706.0,6089.0,1.264,1.079,1021.66
Kepler-243 c,Kepler-243,1,2,Transit,2014,20.026218,1.99,4.62,559.0,5228.0,0.842,0.904,693.86
Kepler-379 c,Kepler-379,1,2,Transit,2014,62.784697,2.29,5.86,530.0,6054.0,1.306,1.125,731.274
Kepler-112 c,Kepler-112,1,2,Transit,2014,28.574263,2.4,6.35,538.0,5544.0,0.841,0.782,513.206
Kepler-137 c,Kepler-137,1,2,Transit,2014,18.735753,1.88,4.19,568.0,5187.0,0.802,0.85,302.979
Kepler-390 b,Kepler-390,2,2,Transit,2014,6.738088,0.82,0.477,786.0,5166.0,0.776,0.787,435.277
Kepler-351 c,Kepler-351,1,3,Transit,2014,57.24809,3.19,11.1,431.0,5643.0,0.854,0.81,1083.91
Kepler-327 b,Kepler-327,1,3,Transit,2014,2.549575,1.11,1.41,682.0,3799.0,0.492,0.591913,241.987
Kepler-114 b,Kepler-114,1,3,Transit,2014,5.188549,1.26,1.09,586.0,4605.0,0.667,0.77,259.533
Kepler-358 c,Kepler-358,1,2,Transit,2014,83.488369,2.85,8.5,411.0,5908.0,0.954,0.94,1101.1
Kepler-169 c,Kepler-169,1,5,Transit,2014,6.195469,1.21,1.92,776.0,4997.0,0.763,0.825,406.529
Kepler-236 b,Kepler-236,1,2,Transit,2014,8.295611,1.57,3.09,469.0,3750.0,0.51,0.596005,288.763
Kepler-141 c,Kepler-141,1,2,Transit,2014,7.010606,1.41,2.57,738.0,4910.0,0.787,0.878,301.183
Kepler-321 c,Kepler-321,1,2,Transit,2014,13.093921,2.32,5.99,752.0,5740.0,1.194,1.024,384.542
Kepler-349 b,Kepler-349,1,2,Transit,2014,5.929778,1.9,94.5,972.0,5956.0,0.927,1.083,940.724
Kepler-353 c,Kepler-353,2,2,Transit,2014,8.410894,1.38,2.48,472.0,3903.0,0.504,0.553,384.694
Kepler-359 c,Kepler-359,1,3,Transit,2014,57.68802,4.3,2.9,512.0,6248.0,1.086,0.827,1443.21
Kepler-173 b,Kepler-173,1,2,Transit,2014,4.263742,1.29,2.21,1179.0,6031.0,0.949,1.067,833.165
Kepler-180 b,Kepler-180,1,2,Transit,2014,13.817124,1.5,2.86,781.0,5731.0,1.063,0.95,695.65
Kepler-244 d,Kepler-244,1,3,Transit,2014,20.050401,2.31,15.2,622.0,5554.0,0.803,0.933,1036.49
Kepler-254 c,Kepler-254,1,3,Transit,2014,12.412183,2.15,3.2,787.0,5957.0,0.91,0.849,1389.48
Kepler-330 c,Kepler-330,1,2,Transit,2014,15.955387,1.95,4.46,573.0,5117.0,0.722,0.848,717.527
Kepler-360 b,Kepler-360,1,2,Transit,2014,3.289672,1.65,3.36,1116.0,6053.0,1.058,0.994,876.044
Kepler-49 e,Kepler-49,1,4,Transit,2014,18.596108,1.56,1.03815,371.0,4252.0,0.559,0.549,311.222
Kepler-140 b,Kepler-140,1,2,Transit,2014,3.25427,1.61,3.22,1301.0,6077.0,1.288,1.044,583.859
Kepler-122 d,Kepler-122,1,5,Transit,2014,21.587475,2.2,5.48,747.0,6050.0,1.216,0.982,1027.45
Kepler-268 c,Kepler-268,1,2,Transit,2014,83.446393,3.38,11.4,471.0,6081.0,1.274,1.109,851.87
Kepler-171 c,Kepler-171,1,3,Transit,2014,11.463462,2.56,7.08,752.0,5642.0,0.839,0.978,863.855
Kepler-133 c,Kepler-133,1,2,Transit,2014,31.517586,2.84,8.45,663.0,5736.0,1.425,1.02,653.6
Kepler-185 b,Kepler-185,1,2,Transit,2014,1.6329,1.17,1.71,1237.0,5208.0,0.806,0.763,466.735
Kepler-346 b,Kepler-346,1,2,Transit,2014,6.511127,2.66,7.56,1008.0,6033.0,1.021,0.943,984.105
Kepler-281 b,Kepler-281,1,3,Transit,2014,14.646008,2.82,324.0,694.0,5723.0,0.899,0.95,1745.45
Kepler-288 b,Kepler-288,1,3,Transit,2014,6.097326,1.67,3.43,1197.0,5918.0,1.091,0.842,1194.15
Kepler-394 b,Kepler-394,1,3,Transit,2014,8.005013,1.6,3.19,1035.0,6402.0,1.132,0.87,1058.72
Kepler-189 b,Kepler-189,1,2,Transit,2014,10.399931,1.21,1.92,678.0,5235.0,0.75,0.803,591.534
Kepler-148 b,Kepler-148,1,3,Transit,2014,1.729366,1.8,3.89,1284.0,5272.0,0.851,0.86,791.163
Kepler-178 c,Kepler-178,1,3,Transit,2014,20.552802,2.88,8.65,656.0,5676.0,1.066,0.852,716.025
Kepler-342 b,Kepler-342,1,4,Transit,2014,15.170318,2.25,5.69,905.0,6175.0,1.472,1.213,781.611
Kepler-334 c,Kepler-334,1,3,Transit,2014,12.758005,1.43,2.63,822.0,5828.0,1.068,1.022,426.59
Kepler-291 c,Kepler-291,1,2,Transit,2014,5.700786,1.88,4.19,1035.0,6002.0,1.016,1.023,1786.48
Kepler-298 c,Kepler-298,1,3,Transit,2014,22.92881,1.93,4.38,416.0,4465.0,0.582,0.66,518.204
Kepler-190 c,Kepler-190,1,2,Transit,2014,3.763024,1.46,2.73,948.0,5106.0,0.795,0.834,433.387
Kepler-191 c,Kepler-191,1,3,Transit,2014,17.738506,1.86,4.12,596.0,5282.0,0.789,0.857,594.464
Kepler-207 c,Kepler-207,1,3,Transit,2014,3.071571,1.5,2.86,1556.0,5920.0,1.588,1.313,875.519
Kepler-224 b,Kepler-224,1,4,Transit,2014,3.132924,1.39,2.51,937.0,5018.0,0.676,0.777,782.088
Kepler-337 c,Kepler-337,1,2,Transit,2014,9.693201,2.05,4.86,1017.0,5684.0,1.761,1.081,677.975
Kepler-299 d,Kepler-299,1,4,Transit,2014,15.054786,1.86,4.12,729.0,5617.0,1.032,1.004,1052.24
Kepler-303 c,Kepler-303,1,2,Transit,2014,7.061149,1.14,1.55,521.0,3944.0,0.485,0.575,209.738
Kepler-137 b,Kepler-137,1,2,Transit,2014,8.436387,1.47,2.76,742.0,5187.0,0.802,0.85,302.979
Kepler-228 b,Kepler-228,1,3,Transit,2014,2.566546,1.53,2.96,1360.0,6043.0,1.014,1.006,1644.61
Kepler-238 c,Kepler-238,1,5,Transit,2014,6.155557,2.39,152.522,1146.0,5751.0,1.43,1.229,1798.75
Kepler-324 c,Kepler-324,1,4,Transit,2014,51.805612,3.15,6.2,410.0,5194.0,0.84,0.901,501.574
Kepler-188 b,Kepler-188,1,2,Transit,2014,2.061897,1.68,3.46,1463.0,6021.0,1.141,1.021,968.544
Kepler-126 b,Kepler-126,1,3,Transit,2014,10.495711,1.52,4.11726105,1009.0,6239.0,1.358,1.108,237.401
Kepler-136 c,Kepler-136,2,2,Transit,2014,16.399235,1.99,4.62,847.0,6165.0,1.355,1.204,420.818
Kepler-198 c,Kepler-198,1,3,Transit,2014,49.567416,2.47,6.66,465.0,5574.0,0.94,0.995,495.358
Kepler-398 b,Kepler-398,1,3,Transit,2014,4.081423,0.93,0.749,755.0,4493.0,0.613,0.649,177.355
Kepler-244 c,Kepler-244,1,3,Transit,2014,9.767292,2.05,4.86,791.0,5554.0,0.803,0.933,1036.49
Kepler-247 b,Kepler-247,1,3,Transit,2014,3.33616,1.64,3.33,970.0,5100.0,0.768,0.887,663.711
Kepler-301 d,Kepler-301,1,3,Transit,2014,13.751243,1.75,3.71,725.0,5815.0,0.9,1.022,719.166
Kepler-301 c,Kepler-301,1,3,Transit,2014,5.419026,1.35,2.39,989.0,5815.0,0.9,1.022,719.166
Kepler-342 d,Kepler-342,1,4,Transit,2014,39.459357,2.49,6.76,658.0,6175.0,1.472,1.213,781.611
Kepler-191 b,Kepler-191,1,3,Transit,2014,9.939632,1.34,2.36,722.0,5282.0,0.789,0.857,594.464
