pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist
TOI-178 e,TOI-178,1,6,Transit,2021,9.96318,2.301,3.48,600.0,4316.0,0.662,0.647,62.699
K2-138 g,K2-138,1,6,Transit,2021,41.96797,3.013,4.32,445.0,5356.3,0.863,0.935,202.585
TOI-269 b,TOI-269,1,1,Transit,2021,3.6977104,2.77,8.8,531.0,3514.0,0.398,0.3917,57.0225
Kepler-1735 b,Kepler-1735,1,1,Transit,2021,7.71792984,1.19429134,1.84,502.0,3975.0,0.509,0.535,245.303
HD 66428 c,HD 66428,1,2,Radial Velocity,2021,10478.84437,13.5,560.64930995,,5716.0,1.13,1.01,53.2817
HD 68988 c,HD 68988,1,2,Radial Velocity,2021,16000.0,12.2,4776.96095721,,5883.41,1.255733,1.171665,60.8447
HD 24040 c,HD 24040,1,2,Radial Velocity,2021,515.4,9.35,63.88350981,,5776.49,1.387296,1.10394,46.6224
HIP 56640 b,HIP 56640,1,1,Radial Velocity,2021,2675.57603,12.7,2151.69831539,,4769.0,4.93,1.75,122.324
Kepler-1878 b,Kepler-1878,1,1,Transit,2021,4.445879936,2.92019781,8.86,1063.0,5918.0,0.865,0.956,1494.3
GJ 367 b,GJ 367,1,3,Transit,2021,0.3219225,0.699,0.633,1365.0,3522.0,0.458,0.455,9.41263
Kepler-1849 b,Kepler-1849,1,1,Transit,2021,57.29290009,2.38685349,6.29,355.0,4806.0,0.729,0.709,631.884
TOI-431 d,TOI-431,1,3,Transit,2021,12.46103,3.29,9.9,633.0,4850.0,0.731,0.78,32.5686
TOI-1260 c,TOI-1260,1,3,Transit,2021,7.493134,2.76,13.2,651.0,4227.0,0.672,0.679,73.5977
Kepler-1870 b,Kepler-1870,1,1,Transit,2021,3.606940031,2.10143764,5.07,1046.0,5508.0,0.84,0.955,407.216
Kepler-1905 b,Kepler-1905,1,1,Transit,2021,3.42392993,1.4460734,2.69,1212.0,5788.0,1.015,1.038,1051.53
Kepler-1839 b,Kepler-1839,1,1,Transit,2021,5.056759834,1.9493759,4.46,1049.0,5926.0,0.939,1.03,1136.6
EPIC 212297394 c,EPIC 212297394,1,2,Transit,2021,5.213965,2.27,5.77,866.0,5171.0,0.8,0.83,418.395
Kepler-1858 b,Kepler-1858,1,1,Transit,2021,88.07160187,2.42168247,6.44,330.0,4939.0,0.819,0.785,833.055
Kepler-1841 b,Kepler-1841,1,1,Transit,2021,25.88599968,1.48912557,2.82,542.0,5190.0,0.899,0.823,631.7
Kepler-1723 b,Kepler-1723,1,1,Transit,2021,39.75289917,2.88046569,8.65,568.0,6072.0,1.01,0.96,811.278
Kepler-1783 b,Kepler-1783,1,1,Transit,2021,8.277440071,1.31946731,2.3,1088.0,5129.0,1.781,0.887,264.078
Kepler-1752 b,Kepler-1752,1,1,Transit,2021,56.35850143,4.54060463,18.7,419.0,5446.0,0.821,0.824,962.888
NGTS-10 b,NGTS-10,1,1,Transit,2020,0.7668944,13.506845,687.14846,1332.0,4600.0,0.697,0.696,324.69865036
Kepler-595 c,Kepler-595,1,2,Transit,2020,12.38602,1.009,3.3,679.0,5138.5,0.821,0.93,643.009
HD 63433 c,HD 63433,1,3,Transit,2020,20.5438281,2.692,15.539,678.92,5553.0,0.934,0.956,22.4035
HD 63433 b,HD 63433,1,3,Transit,2020,7.1079475,2.14,21.755,967.11,5553.0,0.934,0.956,22.4035
HIP 67522 b,HIP 67522,1,2,Transit,2020,6.9594731,9.9872018,71.4,1175.0,5675.0,1.38,1.22,127.28
OGLE-2017-BLG-0406L b,OGLE-2017-BLG-0406L,1,1,Microlensing,2020,,14.2,130.0,,,,0.56,5200.0
HIP 38594 c,HIP 38594,2,2,Radial Velocity,2020,3477.768,7.94,48.4,,4086.3,0.626646,0.61,17.7886
Kepler-1690 b,Kepler-1690,1,1,Transit,2020,234.636,2.81109223,8.3,267.0,5404.0,0.862346,0.94,703.789
HIP 65 A b,HIP 65 A,2,1,Transit,2020,0.9809734,22.75427,1021.18779,1411.0,4590.0,0.7242,0.781,61.7856
GJ 3082 b,GJ 3082,1,1,Radial Velocity,2020,11.949,2.79,8.2,,3910.0,0.465216,0.47,16.6186
Kepler-1693 b,Kepler-1693,1,2,Transit,2020,12.0999,1.28938413,2.21,807.0,5432.34,0.878295,0.95,760.065
HD 136352 b,HD 136352,1,3,Radial Velocity,2019,11.57797,1.664,4.72,905.0,5664.0,1.058,0.87,14.682
HD 221416 b,HD 221416,1,1,Transit,2019,14.2767,9.17,60.5,789.15,5080.0,2.943,1.212,95.5483
GJ 357 d,GJ 357,1,3,Radial Velocity,2019,55.661,2.34,6.1,219.6,3505.0,0.337,0.342,9.44181
GJ 357 c,GJ 357,1,3,Radial Velocity,2019,9.1247,1.66,3.4,401.2,3505.0,0.337,0.342,9.44181
HD 221420 b,HD 221420,1,1,Radial Velocity,2019,10090.0,12.0,7278.2705203,,5847.0,1.947,1.351,31.1415
GJ 357 b,GJ 357,1,3,Transit,2019,3.9306,1.2,1.84,518.0,3505.0,0.337,0.342,9.44181
KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,1,1,Microlensing,2019,,13.3,700.0,,,,0.49,7100.0
HD 181234 b,HD 181234,1,1,Radial Velocity,2019,7593.40512,12.5,2980.91262925,,5386.0,1.059423,0.94,47.7458
