t,phase,total_modes,total_variance_explained,field_mean_coherence,field_mean_energy,n_attractors,mean_speed,tensor_modes_strong,n_communities,mean_interaction_strength
24,warmup,9,0.9423442498669713,0.3157790217365723,0.6643292520890838,100,0.5664860166576683,2,2,0.24229595939505372
25,warmup,9,0.9403721822650848,0.29937890287211966,0.6622832175636558,120,0.5637043419249381,2,2,0.24329921826506137
26,warmup,9,0.9403721822650848,0.29786699673331796,0.6385820573909488,120,0.5625683037106457,2,2,0.2437641541256804
27,warmup,9,0.9403721822650848,0.2937645814897803,0.6586838151394816,120,0.5643888235742693,2,2,0.24858602674311425
28,warmup,9,0.9403721822650848,0.3043275052619735,0.6617306776809679,120,0.5609899169173187,2,2,0.24997845565768867
29,warmup,9,0.9403721822650848,0.30806579470148343,0.687294824539829,120,0.5583555893718015,2,2,0.2531970797442926
30,warmup,9,0.937980835971348,0.31088415058139873,0.70611831523084,145,0.5549354310300142,2,2,0.2549041771356935
31,warmup,9,0.937980835971348,0.30266285754030653,0.7094950585955274,150,0.5552550022911242,2,2,0.2552682482848587
32,warmup,9,0.937980835971348,0.29806961056874137,0.7236829982788697,150,0.5584551208842956,2,2,0.2541443592403416
33,warmup,9,0.937980835971348,0.2890738065414241,0.700893493745337,150,0.5557466979700827,2,2,0.2567849411812372
34,warmup,9,0.937980835971348,0.28174041275035444,0.7433456229810017,150,0.5540578278252558,2,2,0.2582741773358839
35,warmup,9,0.9314060087896407,0.29246505976498094,0.717464993364008,170,0.5557469674777867,2,2,0.2606082769402206
36,warmup,9,0.9317123781804841,0.300214854186091,0.7136699215230049,175,0.5569588456238158,2,2,0.2597462869855386
37,warmup,9,0.9317123781804841,0.28916623087184146,0.6978081742637713,175,0.5556684484645527,2,2,0.2607248573438889
38,warmup,9,0.9317123781804841,0.2903409123969893,0.7130577641726716,175,0.5580663544778367,2,2,0.26311961037619364
39,warmup,9,0.9317123781804841,0.2802233059317936,0.652745867335778,175,0.5576425012926415,2,2,0.26204410401106437
40,warmup,9,0.9317123781804841,0.28217106525764535,0.6973308917001058,175,0.5563855322994927,2,2,0.26075140095884175
41,warmup,9,0.9317123781804841,0.277906200297778,0.7224628645865174,200,0.5576984685892489,2,2,0.2659266824617887
42,warmup,9,0.9292428542049441,0.2783804569090022,0.7451823826067104,205,0.5578793035544766,2,2,0.2658371280527561
43,warmup,9,0.9292428542049441,0.27410182947132977,0.7330356934286434,205,0.557784511734981,2,2,0.2664743064080273
44,warmup,9,0.9292428542049441,0.272469205836273,0.7202338239844879,205,0.5591913483235822,2,2,0.26685263945303317
45,warmup,9,0.9292428542049441,0.280550512543674,0.7478569972365018,205,0.5551594280229398,2,2,0.26843484465931133
46,warmup,9,0.9292428542049441,0.28939464630515677,0.6912416757277342,205,0.5532763776641325,2,2,0.2692061820110853
47,warmup,9,0.9292428542049441,0.2974844259711686,0.7204349497185564,205,0.5522509435865055,2,2,0.26935229199235033
48,warmup,9,0.9268298313368636,0.3068522861460172,0.716794538037167,235,0.5505892271197775,2,2,0.26963235897349236
