t,S,N,C,delta
522,0.26768998,0.37236653,0.35994349,0.01612811
523,0.27341245,0.37561102,0.35097653,0.01112114
524,0.26392103,0.37586363,0.36021534,0.01324788
525,0.25049160,0.38327161,0.36623679,0.01647682
526,0.25345385,0.38478566,0.36176050,0.00557713
527,0.25466454,0.37368175,0.37165371,0.01492106
528,0.24605320,0.37735789,0.37658891,0.01058421
529,0.24377001,0.38184113,0.37438886,0.00549113
530,0.24854191,0.37265071,0.37880737,0.01125869
531,0.25146342,0.36440052,0.38413605,0.01024674
532,0.24786426,0.37353112,0.37860463,0.01126581
533,0.23862663,0.38255138,0.37882199,0.01291302
534,0.23958325,0.39167930,0.36873744,0.01363569
535,0.24168669,0.38878761,0.36952570,0.00366166
536,0.23765821,0.38638925,0.37595254,0.00795519
537,0.23942374,0.39856325,0.36201301,0.01859123
538,0.23402558,0.41068528,0.35528914,0.01487596
539,0.23868185,0.40150460,0.35981355,0.01124437
540,0.23812846,0.40797454,0.35389700,0.00878475
541,0.23423345,0.41097682,0.35478973,0.00499817
542,0.23740267,0.39830341,0.36429391,0.01615514
543,0.23324321,0.40217766,0.36457913,0.00569142
544,0.23200531,0.41071902,0.35727567,0.01130610
545,0.22204596,0.42297435,0.35497970,0.01595785
546,0.22026502,0.43353046,0.34620452,0.01384222
547,0.22995830,0.41407185,0.35596985,0.02383189
548,0.23185061,0.41273489,0.35541450,0.00238259
549,0.23507337,0.42015089,0.34477575,0.01336287
550,0.24067230,0.42108537,0.33824232,0.00865488
551,0.25043996,0.40473310,0.34482694,0.02015344
552,0.24884517,0.41794257,0.33321226,0.01766165
553,0.24545428,0.43224922,0.32229650,0.01831208
554,0.24789687,0.41895037,0.33315276,0.01734024
555,0.25467470,0.42429123,0.32103407,0.01487705
556,0.25977973,0.42313064,0.31708964,0.00655490
557,0.25117416,0.43353562,0.31529022,0.01362195
558,0.25112945,0.42252430,0.32634625,0.01560407
559,0.26041954,0.41498578,0.32459468,0.01209145
560,0.25510183,0.41615277,0.32874540,0.00684605
561,0.25267429,0.42243597,0.32488974,0.00776130
562,0.26146488,0.40876965,0.32976546,0.01696513
563,0.25519356,0.40728441,0.33752203,0.01008463
564,0.25093752,0.41143524,0.33762724,0.00594594
565,0.25402116,0.41895185,0.32702700,0.01335565
566,0.26110963,0.41011818,0.32877219,0.01145974
567,0.26657330,0.39709844,0.33632826,0.01601436
568,0.27814880,0.38084038,0.34101082,0.02049983
569,0.27670597,0.37826976,0.34502427,0.00497973
570,0.27740780,0.37584642,0.34674579,0.00305430
571,0.27133516,0.38924602,0.33941882,0.01643505
572,0.27584999,0.38914671,0.33500330,0.00631587
573,0.28329002,0.36922957,0.34748041,0.02465207
574,0.29859959,0.37054170,0.33085871,0.02263594
575,0.29565092,0.38111316,0.32323592,0.01336253
576,0.30599518,0.38015614,0.31384868,0.01400142
577,0.30172640,0.37249500,0.32577860,0.01480670
578,0.30415997,0.36872193,0.32711810,0.00468536
579,0.30171712,0.37173954,0.32654334,0.00392477
580,0.29180674,0.37257443,0.33561882,0.01346391
581,0.29230251,0.37719538,0.33050211,0.00691229
582,0.30079697,0.38682943,0.31237360,0.02221742
583,0.30471059,0.38023448,0.31505493,0.00812400
584,0.29627254,0.38722587,0.31650159,0.01105319
585,0.30088736,0.39203380,0.30707884,0.01154128
586,0.29750508,0.39437237,0.30812255,0.00424242
587,0.28212641,0.40054007,0.31733352,0.01895748
588,0.28302067,0.38291692,0.33406242,0.02431525
589,0.29091076,0.38280216,0.32628708,0.01107802
590,0.29200064,0.38286370,0.32513566,0.00158663
591,0.28469275,0.38968080,0.32562645,0.01000595
592,0.28983686,0.38798574,0.32217740,0.00642114
593,0.28764650,0.39117560,0.32117790,0.00399649
594,0.27461517,0.40378464,0.32160019,0.01813785
595,0.27624120,0.40290859,0.32085021,0.00199346
596,0.28371061,0.39031812,0.32597127,0.01550926
597,0.28262314,0.39791466,0.31946220,0.01006271
598,0.29082008,0.40007893,0.30910099,0.01338763
599,0.28540450,0.39806265,0.31653285,0.00941417
600,0.29649972,0.39188139,0.31161889,0.01361833
601,0.29828623,0.39194707,0.30976671,0.00257420
602,0.29114487,0.39507687,0.31377826,0.00876853
603,0.29269008,0.39331173,0.31399819,0.00235622
604,0.28462593,0.39514874,0.32022533,0.01035290
605,0.29434260,0.38598074,0.31967666,0.01337038
606,0.29718883,0.37435537,0.32845580,0.01484330
607,0.29438974,0.37806719,0.32754308,0.00473768
608,0.29183714,0.39173412,0.31642874,0.01779970
609,0.27857539,0.39764484,0.32377976,0.01627416
610,0.28011001,0.39538911,0.32450087,0.00282195
611,0.27756625,0.40869359,0.31374016,0.01729950
612,0.27947728,0.40907048,0.31145224,0.00300477
613,0.28144798,0.40022926,0.31832276,0.01136903
614,0.27537543,0.40002865,0.32459592,0.00873320
615,0.28425828,0.39515580,0.32058592,0.01089633
616,0.28713302,0.39733566,0.31553131,0.00621007
617,0.28559422,0.40187457,0.31253121,0.00565422
618,0.28785762,0.40188711,0.31025527,0.00320984
619,0.29828346,0.39635782,0.30535872,0.01277682
620,0.29618398,0.39926372,0.30455230,0.00367455
621,0.28803663,0.40344884,0.30851453,0.00997967
622,0.27901170,0.41119527,0.30979303,0.01196207
623,0.28062967,0.39902929,0.32034103,0.01618299
624,0.27974162,0.39906311,0.32119527,0.00123268
625,0.28217963,0.39924882,0.31857155,0.00358640
626,0.28088406,0.39909016,0.32002578,0.00195409
627,0.28360306,0.39097492,0.32542203,0.01011779
628,0.29045949,0.37777402,0.33176649,0.01617178
629,0.28987223,0.38376314,0.32636463,0.00808668
630,0.28886492,0.39872321,0.31241187,0.02048166
631,0.28728961,0.38699216,0.32571823,0.01780894
632,0.29419110,0.36750131,0.33830759,0.02420776
633,0.28657796,0.38444650,0.32897554,0.02078910
634,0.28266217,0.38282529,0.33451254,0.00697282
635,0.28069196,0.39572378,0.32358426,0.01702000
636,0.27366599,0.41073209,0.31560192,0.01839378
637,0.27434806,0.40457322,0.32107871,0.00826995
638,0.27742058,0.40675721,0.31582222,0.00646846
639,0.27825759,0.41501646,0.30672595,0.01231494
640,0.28388080,0.40941566,0.30670354,0.00793662
641,0.28628701,0.41777662,0.29593637,0.01384296
642,0.28474213,0.41352111,0.30173677,0.00735804
643,0.28634218,0.41980645,0.29385137,0.01021006
644,0.28807445,0.42287221,0.28905334,0.00595153
645,0.27930371,0.43472223,0.28597406,0.01506091
646,0.28635147,0.43885284,0.27479569,0.01384517
647,0.28477563,0.44001548,0.27520889,0.00200143
648,0.28455993,0.43567958,0.27976050,0.00628997
649,0.28520575,0.44089827,0.27389598,0.00787683
650,0.27254654,0.44049695,0.28695651,0.01819325
651,0.28414443,0.42997071,0.28588487,0.01569908
652,0.27767708,0.43744562,0.28487730,0.00993560
653,0.27671155,0.44161920,0.28166926,0.00535187
654,0.27390167,0.44029343,0.28580490,0.00517269
655,0.27287247,0.43573797,0.29138956,0.00728010
656,0.26680970,0.43296948,0.30022082,0.01106404
657,0.26341307,0.43988974,0.29669719,0.00847603
658,0.26001036,0.43502005,0.30496959,0.01018455
659,0.26152605,0.42955744,0.30891650,0.00690764
660,0.25347729,0.43745619,0.30906651,0.01127809
661,0.25501085,0.43338805,0.31160111,0.00503247
662,0.24328729,0.43900247,0.31771025,0.01436263
663,0.23986274,0.44305363,0.31708363,0.00534154
664,0.24348834,0.43488099,0.32163067,0.01003058
665,0.24376049,0.43263491,0.32360460,0.00300255
666,0.24883523,0.43425559,0.31690918,0.00855617
667,0.25059819,0.42709116,0.32231065,0.00914400
668,0.26179638,0.42118723,0.31701639,0.01372170
669,0.25777702,0.43409872,0.30812427,0.01618430
670,0.26420805,0.43191463,0.30387731,0.00801031
671,0.25794577,0.43723564,0.30481859,0.00827135
672,0.25609387,0.44370445,0.30020169,0.00816032
673,0.24482913,0.44834191,0.30682896,0.01386799
674,0.24819137,0.45458649,0.29722215,0.01194112
675,0.25207085,0.45415398,0.29377517,0.00520760
676,0.24678331,0.46269055,0.29052614,0.01055403
677,0.23828797,0.47006460,0.29164743,0.01130507
678,0.22671040,0.49167587,0.28161373,0.02649080
679,0.23608890,0.47990178,0.28400932,0.01524219
680,0.22291994,0.49089789,0.28618217,0.01729327
681,0.22136149,0.48924612,0.28939239,0.00393226
682,0.22149425,0.49429987,0.28420588,0.00724279
683,0.22268863,0.49057669,0.28673468,0.00465654
