t,S,N,C,delta,phase4_active
10282,0.99632065,0.00188016,0.00179919,0.00008440,1
10283,0.99643005,0.00182440,0.00174555,0.00013399,1
10284,0.99636155,0.00178945,0.00184900,0.00012891,1
10285,0.99633925,0.00179731,0.00186344,0.00002771,1
10286,0.99628901,0.00182469,0.00188630,0.00006162,1
10287,0.99640075,0.00179221,0.00180704,0.00014080,1
10288,0.99632974,0.00180599,0.00186427,0.00009224,1
10289,0.99638579,0.00178945,0.00182476,0.00007053,1
10290,0.99638095,0.00173837,0.00188068,0.00007589,1
10291,0.99643720,0.00177930,0.00178350,0.00011952,1
10292,0.99645631,0.00175681,0.00178688,0.00002970,1
10293,0.99673610,0.00158416,0.00167974,0.00034579,1
10294,0.99654931,0.00168530,0.00176540,0.00022903,1
10295,0.99650260,0.00173644,0.00176095,0.00006940,1
10296,0.99650041,0.00167887,0.00182072,0.00008301,1
10297,0.99642610,0.00176551,0.00180839,0.00011481,1
10298,0.99649037,0.00171688,0.00179275,0.00008211,1
10299,0.99647068,0.00175267,0.00177665,0.00004391,1
10300,0.99658151,0.00170996,0.00170853,0.00013693,1
10301,0.99653758,0.00169920,0.00176323,0.00007099,1
10302,0.99659988,0.00167651,0.00172361,0.00007724,1
10303,0.99655794,0.00168372,0.00175834,0.00005493,1
10304,0.99641841,0.00174210,0.00183949,0.00017165,1
10305,0.99633396,0.00177115,0.00189489,0.00010509,1
10306,0.99627578,0.00181263,0.00191159,0.00007338,1
10307,0.99628756,0.00179882,0.00191361,0.00001827,1
10308,0.99636278,0.00181344,0.00182378,0.00011807,1
10309,0.99645368,0.00180709,0.00173923,0.00012430,1
10310,0.99657722,0.00173024,0.00169254,0.00015280,1
10311,0.99654928,0.00178963,0.00166109,0.00007277,1
10312,0.99658610,0.00174410,0.00166980,0.00005919,1
10313,0.99646954,0.00183011,0.00170035,0.00014804,1
10314,0.99641384,0.00185427,0.00173189,0.00006841,1
10315,0.99645337,0.00187663,0.00167000,0.00007677,1
10316,0.99649564,0.00189042,0.00161394,0.00007155,1
10317,0.99657606,0.00180685,0.00161708,0.00011602,1
10318,0.99662473,0.00173994,0.00163532,0.00008473,1
10319,0.99657574,0.00175914,0.00166511,0.00006047,1
10320,0.99645648,0.00184142,0.00170210,0.00014954,1
10321,0.99647312,0.00185848,0.00166840,0.00004127,1
10322,0.99660673,0.00175585,0.00163742,0.00017131,1
10323,0.99655251,0.00176900,0.00167850,0.00006929,1
10324,0.99663384,0.00164798,0.00171818,0.00015112,1
10325,0.99666944,0.00168131,0.00164925,0.00008443,1
10326,0.99658010,0.00170459,0.00171532,0.00011353,1
10327,0.99668567,0.00162059,0.00169374,0.00013663,1
10328,0.99661767,0.00161968,0.00176265,0.00009682,1
10329,0.99642457,0.00169785,0.00187759,0.00023793,1
10330,0.99627934,0.00173197,0.00198869,0.00018601,1
10331,0.99617023,0.00175426,0.00207551,0.00014120,1
10332,0.99636905,0.00165963,0.00197131,0.00024360,1
10333,0.99623023,0.00170864,0.00206113,0.00017246,1
10334,0.99611612,0.00175558,0.00212830,0.00014049,1
10335,0.99605321,0.00176103,0.00218576,0.00008537,1
10336,0.99599401,0.00179076,0.00221524,0.00007251,1
10337,0.99602188,0.00179064,0.00218748,0.00003934,1
10338,0.99622025,0.00167576,0.00210399,0.00024396,1
10339,0.99626797,0.00158611,0.00214592,0.00010988,1
10340,0.99637691,0.00152203,0.00210106,0.00013411,1
10341,0.99610802,0.00160216,0.00228982,0.00033816,1
10342,0.99603636,0.00163721,0.00232643,0.00008777,1
10343,0.99596181,0.00172533,0.00231287,0.00011622,1
10344,0.99598962,0.00175990,0.00225048,0.00007656,1
10345,0.99596446,0.00178729,0.00224825,0.00003726,1
10346,0.99604989,0.00172931,0.00222080,0.00010684,1
10347,0.99608859,0.00172394,0.00218747,0.00005135,1
10348,0.99611397,0.00167460,0.00221143,0.00006043,1
10349,0.99605863,0.00166408,0.00227729,0.00008666,1
10350,0.99623136,0.00160588,0.00216276,0.00021527,1
10351,0.99614618,0.00164943,0.00220439,0.00010433,1
10352,0.99611259,0.00170712,0.00218029,0.00007097,1
10353,0.99612977,0.00170596,0.00216427,0.00002352,1
