index,prime,gap_to_next
598,4391,6.0
599,4397,12.0
600,4409,12.0
601,4421,2.0
602,4423,18.0
603,4441,6.0
604,4447,4.0
605,4451,6.0
606,4457,6.0
607,4463,18.0
608,4481,2.0
609,4483,10.0
610,4493,14.0
611,4507,6.0
612,4513,4.0
613,4517,2.0
614,4519,4.0
615,4523,24.0
616,4547,2.0
617,4549,12.0
618,4561,6.0
619,4567,16.0
620,4583,8.0
621,4591,6.0
622,4597,6.0
623,4603,18.0
624,4621,16.0
625,4637,2.0
626,4639,4.0
627,4643,6.0
628,4649,2.0
629,4651,6.0
630,4657,6.0
631,4663,10.0
632,4673,6.0
633,4679,12.0
634,4691,12.0
635,4703,18.0
636,4721,2.0
637,4723,6.0
638,4729,4.0
639,4733,18.0
640,4751,8.0
641,4759,24.0
642,4783,4.0
643,4787,2.0
644,4789,4.0
645,4793,6.0
646,4799,2.0
647,4801,12.0
648,4813,4.0
649,4817,14.0
650,4831,30.0
651,4861,10.0
652,4871,6.0
653,4877,12.0
654,4889,14.0
655,4903,6.0
656,4909,10.0
657,4919,12.0
658,4931,2.0
659,4933,4.0
660,4937,6.0
661,4943,8.0
662,4951,6.0
663,4957,10.0
664,4967,2.0
665,4969,4.0
666,4973,14.0
667,4987,6.0
668,4993,6.0
669,4999,4.0
670,5003,6.0
671,5009,2.0
672,5011,10.0
673,5021,2.0
674,5023,16.0
675,5039,12.0
676,5051,8.0
677,5059,18.0
678,5077,4.0
679,5081,6.0
680,5087,12.0
681,5099,2.0
682,5101,6.0
683,5107,6.0
684,5113,6.0
685,5119,28.0
686,5147,6.0
687,5153,14.0
688,5167,4.0
689,5171,8.0
690,5179,10.0
691,5189,8.0
692,5197,12.0
693,5209,18.0
694,5227,4.0
695,5231,2.0
696,5233,4.0
697,5237,24.0
698,5261,12.0
699,5273,6.0
700,5279,2.0
701,5281,16.0
702,5297,6.0
703,5303,6.0
704,5309,14.0
705,5323,10.0
706,5333,14.0
707,5347,4.0
708,5351,30.0
709,5381,6.0
710,5387,6.0
711,5393,6.0
712,5399,8.0
713,5407,6.0
714,5413,4.0
715,5417,2.0
716,5419,12.0
717,5431,6.0
718,5437,4.0
719,5441,2.0
720,5443,6.0
721,5449,22.0
722,5471,6.0
723,5477,2.0
724,5479,4.0
725,5483,18.0
726,5501,2.0
727,5503,4.0
728,5507,12.0
729,5519,2.0
730,5521,6.0
731,5527,4.0
732,5531,26.0
733,5557,6.0
734,5563,6.0
735,5569,4.0
736,5573,8.0
737,5581,10.0
738,5591,32.0
739,5623,16.0
740,5639,2.0
741,5641,6.0
742,5647,4.0
743,5651,2.0
744,5653,4.0
745,5657,2.0
746,5659,10.0
747,5669,14.0
748,5683,6.0
749,5689,4.0
750,5693,8.0
751,5701,10.0
752,5711,6.0
753,5717,20.0
754,5737,4.0
755,5741,2.0
756,5743,6.0
757,5749,30.0
758,5779,4.0
759,5783,8.0
760,5791,10.0
761,5801,6.0
762,5807,6.0
763,5813,8.0
764,5821,6.0
765,5827,12.0
766,5839,4.0
767,5843,6.0
768,5849,2.0
769,5851,6.0
770,5857,4.0
771,5861,6.0
772,5867,2.0
773,5869,10.0
774,5879,2.0
775,5881,16.0
776,5897,6.0
777,5903,20.0
778,5923,4.0
779,5927,12.0
780,5939,14.0
781,5953,28.0
782,5981,6.0
783,5987,20.0
784,6007,4.0
785,6011,18.0
786,6029,8.0
787,6037,6.0
788,6043,4.0
789,6047,6.0
790,6053,14.0
791,6067,6.0
792,6073,6.0
793,6079,10.0
794,6089,2.0
795,6091,10.0
796,6101,12.0
797,6113,8.0
798,6121,10.0
799,6131,2.0
800,6133,10.0
801,6143,8.0
802,6151,12.0
803,6163,10.0
804,6173,24.0
805,6197,2.0
806,6199,4.0
807,6203,8.0
808,6211,6.0
809,6217,4.0
810,6221,8.0
811,6229,18.0
812,6247,10.0
813,6257,6.0
814,6263,6.0
815,6269,2.0
816,6271,6.0
817,6277,10.0
818,6287,12.0
819,6299,2.0
820,6301,10.0
821,6311,6.0
822,6317,6.0
823,6323,6.0
824,6329,8.0
825,6337,6.0
826,6343,10.0
827,6353,6.0
828,6359,2.0
829,6361,6.0
830,6367,6.0
831,6373,6.0
832,6379,10.0
833,6389,8.0
834,6397,24.0
835,6421,6.0
836,6427,22.0
837,6449,2.0
838,6451,18.0
839,6469,4.0
840,6473,8.0
841,6481,10.0
842,6491,30.0
843,6521,8.0
844,6529,18.0
845,6547,4.0
846,6551,2.0
847,6553,10.0
848,6563,6.0
849,6569,2.0
850,6571,6.0
851,6577,4.0
852,6581,18.0
853,6599,8.0
854,6607,12.0
855,6619,18.0
856,6637,16.0
857,6653,6.0
858,6659,2.0
859,6661,12.0
860,6673,6.0
861,6679,10.0
862,6689,2.0
863,6691,10.0
864,6701,2.0
865,6703,6.0
866,6709,10.0
867,6719,14.0
868,6733,4.0
869,6737,24.0
870,6761,2.0
871,6763,16.0
872,6779,2.0
873,6781,10.0
874,6791,2.0
875,6793,10.0
876,6803,20.0
877,6823,4.0
878,6827,2.0
879,6829,4.0
880,6833,8.0
881,6841,16.0
882,6857,6.0
883,6863,6.0
884,6869,2.0
885,6871,12.0
886,6883,16.0
887,6899,8.0
888,6907,4.0
889,6911,6.0
890,6917,30.0
891,6947,2.0
892,6949,10.0
893,6959,2.0
894,6961,6.0
895,6967,4.0
896,6971,6.0
897,6977,6.0
898,6983,8.0
899,6991,6.0
900,6997,4.0
901,7001,12.0
902,7013,6.0
903,7019,8.0
904,7027,12.0
905,7039,4.0
906,7043,14.0
907,7057,12.0
908,7069,10.0
909,7079,24.0
910,7103,6.0
911,7109,12.0
912,7121,6.0
913,7127,2.0
914,7129,22.0
915,7151,8.0
916,7159,18.0
917,7177,10.0
918,7187,6.0
919,7193,14.0
920,7207,4.0
921,7211,2.0
922,7213,6.0
923,7219,10.0
924,7229,8.0
925,7237,6.0
926,7243,4.0
927,7247,6.0
928,7253,30.0
929,7283,14.0
930,7297,10.0
931,7307,2.0
932,7309,12.0
933,7321,10.0
934,7331,2.0
935,7333,16.0
936,7349,2.0
937,7351,18.0
938,7369,24.0
939,7393,18.0
940,7411,6.0
941,7417,16.0
942,7433,18.0
943,7451,6.0
944,7457,2.0
945,7459,18.0
946,7477,4.0
947,7481,6.0
948,7487,2.0
949,7489,10.0
950,7499,8.0
951,7507,10.0
952,7517,6.0
953,7523,6.0
954,7529,8.0
955,7537,4.0
956,7541,6.0
957,7547,2.0
958,7549,10.0
959,7559,2.0
960,7561,12.0
961,7573,4.0
962,7577,6.0
963,7583,6.0
964,7589,2.0
965,7591,12.0
966,7603,4.0
967,7607,14.0
968,7621,18.0
969,7639,4.0
970,7643,6.0
971,7649,20.0
972,7669,4.0
973,7673,8.0
974,7681,6.0
975,7687,4.0
