time_tag,satellite,flux,observed_flux,electron_correction,electron_contaminaton,energy
2025-11-29T12:49:00Z,18,2.271748599014245e-06,2.2976978470978793e-06,2.5949175253003887e-08,False,0.1-0.8nm
2025-11-29T12:50:00Z,18,5.698110427942993e-08,8.201649848160741e-08,2.5035399531248004e-08,False,0.05-0.4nm
2025-11-29T12:50:00Z,18,2.2783422082284233e-06,2.3081897779775318e-06,2.984767633051888e-08,False,0.1-0.8nm
2025-11-29T12:51:00Z,18,5.603002861676032e-08,7.767685161752524e-08,2.1646823000764925e-08,False,0.05-0.4nm
2025-11-29T12:51:00Z,18,2.271041694257292e-06,2.300044116054778e-06,2.9002595880456283e-08,False,0.1-0.8nm
2025-11-29T12:52:00Z,18,5.194125662910665e-08,7.548252511924147e-08,2.3541266713777986e-08,False,0.05-0.4nm
2025-11-29T12:52:00Z,18,2.2588010324398056e-06,2.288301857333863e-06,2.9500808906846032e-08,False,0.1-0.8nm
2025-11-29T12:53:00Z,18,5.369239630681477e-08,7.74217951970968e-08,2.3729398890282027e-08,False,0.05-0.4nm
2025-11-29T12:53:00Z,18,2.2607089249504497e-06,2.2869821805215906e-06,2.6273136555232668e-08,False,0.1-0.8nm
2025-11-29T12:54:00Z,18,5.5174126600832096e-08,7.981758187725063e-08,2.4643455276418536e-08,False,0.05-0.4nm
2025-11-29T12:54:00Z,18,2.2559565877600107e-06,2.2847486889077118e-06,2.8792033646141135e-08,False,0.1-0.8nm
2025-11-29T12:55:00Z,18,5.208750053498079e-08,7.744160512856979e-08,2.535410281723216e-08,False,0.05-0.4nm
2025-11-29T12:55:00Z,18,2.2362987692758907e-06,2.2645458557235543e-06,2.824700828796267e-08,False,0.1-0.8nm
2025-11-29T12:56:00Z,18,4.512371276632621e-08,7.144197411435016e-08,2.6318261348023952e-08,False,0.05-0.4nm
2025-11-29T12:56:00Z,18,2.20167157749529e-06,2.230053269158816e-06,2.8381581529401956e-08,False,0.1-0.8nm
2025-11-29T12:57:00Z,18,4.4344456995304427e-08,7.060510398559927e-08,2.6260645213938005e-08,False,0.05-0.4nm
2025-11-29T12:57:00Z,18,2.1737253064202378e-06,2.201676124968799e-06,2.795079545592216e-08,False,0.1-0.8nm
2025-11-29T12:58:00Z,18,4.350357585281017e-08,6.92603663310365e-08,2.575679403094e-08,False,0.05-0.4nm
2025-11-29T12:58:00Z,18,2.1731464130425593e-06,2.202286168540013e-06,2.9139636481545494e-08,False,0.1-0.8nm
2025-11-29T12:59:00Z,18,4.435243639022701e-08,7.056973316821313e-08,2.621729677798612e-08,False,0.05-0.4nm
2025-11-29T12:59:00Z,18,2.2054207420296734e-06,2.2350075141730485e-06,2.958674194530886e-08,False,0.1-0.8nm
2025-11-29T13:00:00Z,18,4.542195952694783e-08,7.155784231827056e-08,2.6135886344036408e-08,False,0.05-0.4nm
2025-11-29T13:00:00Z,18,2.201157030867762e-06,2.231230610050261e-06,3.007362536777691e-08,False,0.1-0.8nm
2025-11-29T13:01:00Z,18,4.700189748518824e-08,7.294445936167904e-08,2.594256010013396e-08,False,0.05-0.4nm
2025-11-29T13:01:00Z,18,2.2033641471352894e-06,2.234023213532055e-06,3.06591516618937e-08,False,0.1-0.8nm
2025-11-29T13:02:00Z,18,4.736421033157967e-08,7.377528277174861e-08,2.6411068887455258e-08,False,0.05-0.4nm
2025-11-29T13:02:00Z,18,2.1968965029373066e-06,2.2279973563854583e-06,3.1100697128749744e-08,False,0.1-0.8nm
2025-11-29T13:03:00Z,18,4.9501718279998386e-08,7.51253139696928e-08,2.562359746605125e-08,False,0.05-0.4nm
2025-11-29T13:03:00Z,18,2.2020576579961926e-06,2.233370196336182e-06,3.131265202682698e-08,False,0.1-0.8nm
2025-11-29T13:04:00Z,18,5.3633414154319325e-08,8.069208234928738e-08,2.705866464225437e-08,False,0.05-0.4nm
2025-11-29T13:04:00Z,18,2.2676902062812587e-06,2.3005502498563146e-06,3.286000449520543e-08,False,0.1-0.8nm
2025-11-29T13:05:00Z,18,6.360441773267667e-08,9.085455587864999e-08,2.7250136369616484e-08,False,0.05-0.4nm
2025-11-29T13:05:00Z,18,2.375446001678938e-06,2.406313569736085e-06,3.0867390421462915e-08,False,0.1-0.8nm
2025-11-29T13:06:00Z,18,1.26692057733635e-07,1.551874220240279e-07,2.8495376724890775e-08,False,0.05-0.4nm
2025-11-29T13:06:00Z,18,2.6398495265311794e-06,2.6693955987866502e-06,2.9546036728334002e-08,False,0.1-0.8nm
2025-11-29T13:07:00Z,18,2.0850843895914295e-07,2.3546495242499077e-07,2.695650991313414e-08,False,0.05-0.4nm
2025-11-29T13:07:00Z,18,2.9558730147982715e-06,2.9840634852007497e-06,2.819044375712565e-08,False,0.1-0.8nm
2025-11-29T13:08:00Z,18,2.155794049940596e-07,2.438488593270449e-07,2.8269452556628494e-08,False,0.05-0.4nm
2025-11-29T13:08:00Z,18,3.0955391139286803e-06,3.1225763450493105e-06,2.703716184271343e-08,False,0.1-0.8nm
2025-11-29T13:09:00Z,18,2.2308266522941267e-07,2.5384750301782333e-07,3.076483423569698e-08,False,0.05-0.4nm
2025-11-29T13:09:00Z,18,3.2348705190088367e-06,3.2635095976729644e-06,2.8639087545911934e-08,False,0.1-0.8nm
2025-11-29T13:10:00Z,18,2.2405906463518477e-07,2.564469525623281e-07,3.238789147985699e-08,False,0.05-0.4nm
2025-11-29T13:10:00Z,18,3.338352598802885e-06,3.3680180422379635e-06,2.966549672578367e-08,False,0.1-0.8nm
2025-11-29T13:11:00Z,18,2.9214044161562924e-07,3.2307556807609217e-07,3.093511580232189e-08,False,0.05-0.4nm
2025-11-29T13:11:00Z,18,3.7138365769351367e-06,3.744715058928705e-06,3.087837185944409e-08,False,0.1-0.8nm
2025-11-29T13:12:00Z,18,4.208744996958558e-07,4.5042841634312936e-07,2.9553913094559903e-08,False,0.05-0.4nm
2025-11-29T13:12:00Z,18,4.25274993176572e-06,4.28330349677708e-06,3.055334119039799e-08,False,0.1-0.8nm
2025-11-29T13:13:00Z,18,1.0103819931828184e-06,1.0420444596093148e-06,3.166247353192375e-08,False,0.05-0.4nm
2025-11-29T13:13:00Z,18,6.114065854490036e-06,6.1458949858206324e-06,3.182922014843825e-08,False,0.1-0.8nm
2025-11-29T13:14:00Z,18,1.7382905070917332e-06,1.7704071524349274e-06,3.211665244862161e-08,False,0.05-0.4nm
2025-11-29T13:14:00Z,18,8.77390084497165e-06,8.80592688190518e-06,3.202615417308152e-08,False,0.1-0.8nm
2025-11-29T13:15:00Z,18,1.9344061001902446e-06,1.964921921171481e-06,3.05157996649541e-08,False,0.05-0.4nm
2025-11-29T13:15:00Z,18,1.0485345228516962e-05,1.051717481459491e-05,3.1829035407326955e-08,False,0.1-0.8nm
2025-11-29T13:16:00Z,18,1.7738980204740074e-06,1.8041823750536423e-06,3.028435813234864e-08,False,0.05-0.4nm
2025-11-29T13:16:00Z,18,1.1150750651722774e-05,1.1182525668118615e-05,3.1774419539942755e-08,False,0.1-0.8nm
2025-11-29T13:17:00Z,18,1.4876943623676198e-06,1.5173033034443506e-06,2.9608999696506544e-08,False,0.05-0.4nm
2025-11-29T13:17:00Z,18,1.103275099012535e-05,1.1064775208069477e-05,3.20246158480586e-08,False,0.1-0.8nm
2025-11-29T13:18:00Z,18,1.2166451597295236e-06,1.2477316886361223e-06,3.1086539564739724e-08,False,0.05-0.4nm
2025-11-29T13:18:00Z,18,1.0502740224183071e-05,1.0535198271099944e-05,3.245811797114584e-08,False,0.1-0.8nm
2025-11-29T13:19:00Z,18,9.997037295761402e-07,1.0304906936653424e-06,3.078691079849705e-08,False,0.05-0.4nm
2025-11-29T13:19:00Z,18,9.79853757598903e-06,9.832369869400281e-06,3.3832638024478e-08,False,0.1-0.8nm
2025-11-29T13:20:00Z,18,8.321268865074671e-07,8.61793012063572e-07,2.9666122003391138e-08,False,0.05-0.4nm
2025-11-29T13:20:00Z,18,9.090284947887994e-06,9.124510143010411e-06,3.4225458023229294e-08,False,0.1-0.8nm
2025-11-29T13:21:00Z,18,6.971367838559672e-07,7.271872846104088e-07,3.0050543387005746e-08,False,0.05-0.4nm
2025-11-29T13:21:00Z,18,8.40694883663673e-06,8.44118130771676e-06,3.423271976998876e-08,False,0.1-0.8nm
2025-11-29T13:22:00Z,18,5.950442414359713e-07,6.275698751778691e-07,3.252567637446191e-08,False,0.05-0.4nm
2025-11-29T13:22:00Z,18,7.831167749827728e-06,7.86641157901613e-06,3.5244326568317774e-08,False,0.1-0.8nm
2025-11-29T13:23:00Z,18,5.058621468378988e-07,5.408315360000415e-07,3.4969346529578615e-08,False,0.05-0.4nm
2025-11-29T13:23:00Z,18,7.283636023203144e-06,7.320121312659467e-06,3.6485658938545384e-08,False,0.1-0.8nm
2025-11-29T13:24:00Z,18,4.24318699288051e-07,4.591445588175702e-07,3.482585952951922e-08,False,0.05-0.4nm
2025-11-29T13:24:00Z,18,6.721299087075749e-06,6.757727533113211e-06,3.64284424847483e-08,False,0.1-0.8nm
2025-11-29T13:25:00Z,18,3.5331197523191804e-07,3.884757973082742e-07,3.5163818523642476e-08,False,0.05-0.4nm
2025-11-29T13:25:00Z,18,6.178563126013614e-06,6.214373115653871e-06,3.580975516115359e-08,False,0.1-0.8nm
2025-11-29T13:26:00Z,18,2.930413813828636e-07,3.2840381436471944e-07,3.53624187710011e-08,False,0.05-0.4nm
2025-11-29T13:26:00Z,18,5.663772753905505e-06,5.7005790949915536e-06,3.680634463876231e-08,False,0.1-0.8nm
2025-11-29T13:27:00Z,18,2.4790975317046104e-07,2.8459950840442616e-07,3.6689755233965116e-08,False,0.05-0.4nm
2025-11-29T13:27:00Z,18,5.238132871454582e-06,5.275960575090721e-06,3.7827486920605224e-08,False,0.1-0.8nm
2025-11-29T13:28:00Z,18,2.0942083267527778e-07,2.470536344389984e-07,3.763281597457535e-08,False,0.05-0.4nm
2025-11-29T13:28:00Z,18,4.827661541639827e-06,4.8664601308701094e-06,3.8798642520987414e-08,False,0.1-0.8nm
2025-11-29T13:29:00Z,18,1.7448812172915495e-07,2.1107193504121824e-07,3.658382041749064e-08,False,0.05-0.4nm
2025-11-29T13:29:00Z,18,4.468597126106033e-06,4.507720859692199e-06,3.912388635285424e-08,False,0.1-0.8nm
2025-11-29T13:30:00Z,18,1.5622001114934392e-07,1.9191493549897132e-07,3.569492790234108e-08,False,0.05-0.4nm
2025-11-29T13:30:00Z,18,4.1863891055982094e-06,4.224837539368309e-06,3.844863272206567e-08,False,0.1-0.8nm
2025-11-29T13:31:00Z,18,1.3770954865321983e-07,1.7311481315118726e-07,3.5405268050681116e-08,False,0.05-0.4nm
2025-11-29T13:31:00Z,18,3.921951247320976e-06,3.959085915994365e-06,3.7134714858666484e-08,False,0.1-0.8nm
2025-11-29T13:32:00Z,18,1.2335614485436963e-07,1.5956318577536877e-07,3.620705157914017e-08,False,0.05-0.4nm
2025-11-29T13:32:00Z,18,3.7089964735059766e-06,3.7468284972419497e-06,3.783217294994756e-08,False,0.1-0.8nm
2025-11-29T13:33:00Z,18,1.151213524508421e-07,1.514391385626368e-07,3.6317782559081024e-08,False,0.05-0.4nm
2025-11-29T13:33:00Z,18,3.548794893504237e-06,3.5855196074408013e-06,3.672449366831643e-08,False,0.1-0.8nm
2025-11-29T13:34:00Z,18,1.0919774240392144e-07,1.4559576300143817e-07,3.6398013492089376e-08,False,0.05-0.4nm
2025-11-29T13:34:00Z,18,3.416878598727635e-06,3.453520321272663e-06,3.664174030859613e-08,False,0.1-0.8nm
2025-11-29T13:35:00Z,18,1.1107952246902641e-07,1.488261744952979e-07,3.7746652026271477e-08,False,0.05-0.4nm
2025-11-29T13:35:00Z,18,3.370011199876899e-06,3.4069776120304596e-06,3.696651873497103e-08,False,0.1-0.8nm
2025-11-29T13:36:00Z,18,1.0461901212011071e-07,1.4371434531312843e-07,3.9095329640304044e-08,False,0.05-0.4nm
2025-11-29T13:36:00Z,18,3.2460970942338463e-06,3.2839748200785834e-06,3.78777329501645e-08,False,0.1-0.8nm
2025-11-29T13:37:00Z,18,1.0101712888399561e-07,1.419696076254695e-07,4.095247163604654e-08,False,0.05-0.4nm
2025-11-29T13:37:00Z,18,3.16212754114531e-06,3.2006666970119113e-06,3.853925178987083e-08,False,0.1-0.8nm
2025-11-29T13:38:00Z,18,9.860536920314189e-08,1.400666178597021e-07,4.1461241551132844e-08,False,0.05-0.4nm
2025-11-29T13:38:00Z,18,3.0890196285326965e-06,3.129079686914338e-06,4.006006548706864e-08,False,0.1-0.8nm
2025-11-29T13:39:00Z,18,9.977778603342813e-08,1.4016893601365155e-07,4.039114998022342e-08,False,0.05-0.4nm
2025-11-29T13:39:00Z,18,3.0429105208895635e-06,3.0827263799437787e-06,3.981589458135204e-08,False,0.1-0.8nm
2025-11-29T13:40:00Z,18,1.0153492269182607e-07,1.4331507713905012e-07,4.178015444722405e-08,False,0.05-0.4nm
2025-11-29T13:40:00Z,18,3.0286726087069837e-06,3.0684307148476364e-06,3.9758003111955986e-08,False,0.1-0.8nm
2025-11-29T13:41:00Z,18,1.0695654140135957e-07,1.49084740996841e-07,4.212819959548142e-08,False,0.05-0.4nm
2025-11-29T13:41:00Z,18,3.0271469313447597e-06,3.0676756068714894e-06,4.0528615130597245e-08,False,0.1-0.8nm
2025-11-29T13:42:00Z,18,1.0909844405659896e-07,1.4902254008575255e-07,3.992409247643991e-08,False,0.05-0.4nm
2025-11-29T13:42:00Z,18,3.0081532713666093e-06,3.0479241104330868e-06,3.9770799986627026e-08,False,0.1-0.8nm
2025-11-29T13:43:00Z,18,1.1180101466834458e-07,1.5074772363732336e-07,3.8946701863551425e-08,False,0.05-0.4nm
2025-11-29T13:43:00Z,18,3.0079077077971306e-06,3.0477151540253544e-06,3.980744622822385e-08,False,0.1-0.8nm
2025-11-29T13:44:00Z,18,1.1500919328000236e-07,1.5302563838304195e-07,3.801644155032591e-08,False,0.05-0.4nm
2025-11-29T13:44:00Z,18,3.0152536965033505e-06,3.0540131774614565e-06,3.875964083022154e-08,False,0.1-0.8nm
2025-11-29T13:45:00Z,18,1.1834483615302815e-07,1.5987968993158574e-07,4.153485377855759e-08,False,0.05-0.4nm
2025-11-29T13:45:00Z,18,3.0432101993937977e-06,3.082957391598029e-06,3.974724904765026e-08,False,0.1-0.8nm
2025-11-29T13:46:00Z,18,1.2567538476560003e-07,1.662103130684045e-07,4.0534924750090795e-08,False,0.05-0.4nm
2025-11-29T13:46:00Z,18,3.0731168862985214e-06,3.1131887681112858e-06,4.00719706306063e-08,False,0.1-0.8nm
