time_tag,dsflag_de1,dsflag_de4,dsflag_p1,dsflag_p3,dsflag_p5,dsflag_p7,dsflag_fp6p,numpts_de1,numpts_de4,numpts_p1,numpts_p3,numpts_p5,numpts_p7,numpts_fp6p,de1,de4,p1,p3,p5,p7,fp6p,fp6p_ratio,dsflag_p2,dsflag_p4,dsflag_p6,dsflag_p8,numpts_p2,numpts_p4,numpts_p6,numpts_p8,p2,p4,p6,p8,dsflag_p1_30,dsflag_p2_30,dsflag_p4_30,dsflag_p3_30,dsflag_p5_30,dsflag_p6_30,dsflag_p7_30,dsflag_p8_30,numpts_p1_30,numpts_p2_30,numpts_p3_30,numpts_p4_30,numpts_p5_30,numpts_p6_30,numpts_p7_30,numpts_p8_30,p1_30,p2_30,p3_30,p4_30,p5_30,p6_30,p7_30,p8_30
2025-12-06T03:15:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3557.2566,17.841957,8011.0376,56.482224,19.972618,3.9471254,11.017023,,0,0,0,0,182,182,91,91,148.9017,33.987457,9.2380724,0.84237719,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13919.795,4333710.0,356351.63,1663.8125,23.183018,8.9562521,3.5460806,0.81892622
2025-12-06T03:10:00,0,0,0,0,0,0,0,49,49,195,195,195,97,97,3126.6577,14.941068,7809.3267,67.42691,20.025616,3.9609964,12.516797,,0,0,0,0,195,195,97,97,166.25403,35.725929,9.9110203,0.82776403,0,0,0,0,0,0,0,0,49,49,49,49,24,24,24,24,12581.631,4328866.5,349140.38,1581.0718,23.304052,10.897879,4.5229754,0.91909707
2025-12-06T03:05:00,0,0,0,0,0,0,0,46,46,186,186,186,93,93,3092.885,16.468176,8339.8115,65.423973,18.876595,3.8176713,11.13026,,0,0,0,0,186,186,93,93,208.15369,35.228825,10.17552,0.77038294,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13138.879,4340304.5,354357.19,1529.1987,22.300484,12.280525,4.9801264,0.98678821
2025-12-06T03:00:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3177.4377,18.717997,8258.4678,65.348213,16.619579,3.5443575,10.916514,,0,0,0,0,182,182,91,91,166.50792,33.424961,8.9700565,0.72875684,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13795.223,4334922.0,352378.69,1572.8358,21.36237,10.539783,4.3736043,0.92157459
2025-12-06T02:55:00,0,0,0,0,0,0,0,49,49,197,197,197,98,98,2986.54,15.557114,8042.4829,67.102921,16.94371,3.4264302,12.603511,,0,0,0,0,197,197,98,98,227.54475,33.17416,8.7690086,0.74100971,0,0,0,0,0,0,0,0,49,49,49,49,25,25,25,25,12777.913,4341108.5,359237.06,1601.5201,26.380737,10.891205,4.4384718,0.97341555
2025-12-06T02:50:00,0,0,0,0,0,0,0,46,46,184,184,184,92,92,2852.7634,14.301701,9172.2861,110.51907,18.70212,3.7557011,12.100159,,0,0,0,0,184,184,92,92,469.64777,36.909641,9.4794159,0.80045813,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13089.441,4343872.0,360899.44,1653.49,24.420042,13.971696,4.9164414,0.92842531
2025-12-06T02:45:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,2853.6543,13.701221,9819.666,128.11218,17.622023,3.6386018,10.734342,,0,0,0,0,182,182,91,91,615.96149,41.858139,9.7667532,0.81553996,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13124.338,4343872.0,362135.75,1571.3049,23.125566,11.534923,4.9343061,0.92439973
2025-12-06T02:40:00,0,0,0,0,0,0,0,50,50,198,198,198,99,99,3257.0247,17.81205,10155.095,130.14993,17.415379,3.7212334,12.492439,,0,0,0,0,198,198,99,99,650.90173,36.649437,8.3948889,0.85094005,0,0,0,0,0,0,0,0,50,50,50,50,25,25,25,25,13485.058,4310621.0,342565.91,1391.1497,27.009451,13.230206,4.8658662,0.92293292
2025-12-06T02:35:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,2946.0474,19.500589,9454.7627,141.22729,19.185123,3.9509466,12.610715,,0,0,0,0,182,182,91,91,578.79156,38.054401,8.7648029,0.75965196,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,12071.651,4228451.0,328081.0,1326.2418,24.058666,13.25218,4.9147978,0.89445275
2025-12-06T02:30:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,2899.7688,17.993805,9981.7158,108.83234,18.913712,4.1044116,12.155913,,0,0,0,0,182,182,91,91,561.37317,32.548317,8.9344339,0.88221818,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,12200.74,4286627.5,337312.19,1345.7593,25.946671,13.489539,4.7952318,1.1782894
2025-12-06T02:25:00,0,0,0,0,0,0,0,50,50,198,198,198,99,99,3163.2295,17.012171,16182.725,338.4212,16.924612,3.8631756,14.897964,,0,0,0,0,198,198,99,99,2248.8044,45.93082,8.548213,0.76549006,0,0,0,0,0,0,0,0,50,50,50,50,25,25,25,25,13977.392,4343872.0,374305.0,1605.793,30.96472,14.264776,5.5999107,1.1507664
2025-12-06T02:20:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,2806.8855,14.746626,13793.625,231.38155,16.044065,3.4698534,12.932971,,0,0,0,0,182,182,91,91,1484.7776,38.370674,8.5092268,0.76177305,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13221.332,4339303.5,361120.59,1598.4414,27.642508,13.811597,5.4471827,1.3041042
2025-12-06T02:15:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,2688.2195,13.940673,11151.009,129.72023,18.394659,3.8904512,12.409698,,0,0,0,0,182,182,91,91,777.64966,32.845486,9.0492172,0.93109709,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,12565.899,4312639.5,350530.97,1619.5244,25.306772,11.998505,4.6221762,0.96376389
2025-12-06T02:10:00,0,0,0,0,0,0,0,50,50,198,198,198,99,99,2865.7109,18.493826,9296.7207,65.088799,16.900938,3.7809367,11.686941,,0,0,0,0,198,198,99,99,350.68066,27.543661,10.01181,0.87459141,0,0,0,0,0,0,0,0,50,50,50,50,25,25,25,25,12606.814,4293739.5,346962.91,1439.1184,20.36817,11.089363,4.7033234,0.71847147
